id,raw_product_text,style_number,parent,design_id,metal,metal_group,quality,stone_type,category,is_lab_grown,brand,carat_weight,confidence_score,notes_or_warnings
1,"B401400-14WVS Natural Diamond Band, 1.20cttw, round diamonds, size 6.5",B401400-14WVS,B401400,B401,14W,14K,VS,Natural Diamond,Band,False,AMIPI,1.2,1.0,[]
2,LB401400-14WVS Lab Grown Diamond Band 1.20 ctw white gold,LB401400-14WVS,LB401400,B401,14W,14K,VS,Lab-Grown Diamond,Band,True,ALAB,1.2,1.0,[]
3,"B501200-18YRA Ruby and Diamond Alternate Band, 0.75ct diamond, 1.10ct ruby",B501200-18YRA,B501200,B501,18Y,18K,RA,Diamond + Ruby,Band,False,AMIPI,1.85,1.0,[]
4,B601800-14REM Half Emerald Half Diamond Ring 14k rose gold,,,,,,,Natural Diamond,,False,AMIPI,,0.4,"[""HTTP 503: {\n  \""error\"": {\n    \""code\"": 503,\n    \""message\"": \""This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.\"",\n    \""status\"": \""UNAVAILABLE\""\n  }\n}\n""]"
5,"LB701100-18WFG Lab diamond pendant, F-G quality, 0.95cttw",LB701100-18WFG,LB701100,B701,18W,18K,FG,Lab-Grown Diamond,Pendant,True,ALAB,0.95,1.0,[]
6,B801300-PTVS Diamond eternity band platinum VS 2.00ct,B801300-PTVS,B801300,B801,PT,PT,VS,Natural Diamond,Band,False,AMIPI,2.0,1.0,[]
7,B901500-14YS Sapphire colorstone band yellow gold,,,,,,,Natural Diamond,,False,AMIPI,,0.4,"[""HTTP 429: {\n  \""error\"": {\n    \""code\"": 429,\n    \""message\"": \""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-a""]"
8,LB301900-14RVS1 Lab grown diamond ring rose gold VS1 1.50 ctw,,,,,,,Natural Diamond,,False,AMIPI,,0.4,"[""HTTP 429: {\n  \""error\"": {\n    \""code\"": 429,\n    \""message\"": \""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-a""]"
9,"B221100-18W Ruby half and diamond half band, 18 white",,,,,,,Natural Diamond,,False,AMIPI,,0.4,"[""HTTP 429: {\n  \""error\"": {\n    \""code\"": 429,\n    \""message\"": \""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-a""]"
10,B332200-14Y SI Natural diamond necklace 0.60cttw 14 yellow,,,,,,,Natural Diamond,,False,AMIPI,,0.4,"[""HTTP 429: {\n  \""error\"": {\n    \""code\"": 429,\n    \""message\"": \""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-a""]"
11,LB445500-PTVVS2 Lab diamond bracelet platinum VVS2 3.25cttw,,,,,,,Natural Diamond,,False,AMIPI,,0.4,"[""HTTP 429: {\n  \""error\"": {\n    \""code\"": 429,\n    \""message\"": \""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-a""]"
12,B778800-18R Emerald alternate diamond ring 18k rose gold,,,,,,,Natural Diamond,,False,AMIPI,,0.4,"[""HTTP 429: {\n  \""error\"": {\n    \""code\"": 429,\n    \""message\"": \""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-a""]"
13,B112233-14WDEF Natural diamond stud earrings D-E-F quality 1.00cttw,,,,,,,Natural Diamond,,False,AMIPI,,0.4,"[""HTTP 503: {\n  \""error\"": {\n    \""code\"": 503,\n    \""message\"": \""This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.\"",\n    \""status\"": \""UNAVAILABLE\""\n  }\n}\n""]"
14,LB223344-18YGH Lab grown diamond hoop earrings G-H 0.80cttw,,,,,,,Natural Diamond,,False,AMIPI,,0.4,"[""HTTP 429: {\n  \""error\"": {\n    \""code\"": 429,\n    \""message\"": \""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-a""]"
15,B998877-14RS Ruby color stone only band 14 rose,,,,,,,Natural Diamond,,False,AMIPI,,0.4,"[""HTTP 429: {\n  \""error\"": {\n    \""code\"": 429,\n    \""message\"": \""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-a""]"
